return_code,line_item_code,line_item_desc,parent_line_item_code,hierarchy_level,is_subtotal,expected_sign,note
E3,3256,Securities measured at amortized cost,3352,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3257,Securities measured at fair value through other comprehensive income,3352,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3262,Securities measured at amortized cost,3403,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3263,Securities measured at fair value through other comprehensive income,3403,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3268,Securities measured at amortized cost,3194,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3269,Securities measured at fair value through other comprehensive income,3194,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3303,(A) Credit cards,3302,3,false,,
E3,3304,(B) Personal loan plans,3302,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3306,(C) Personal line of credit,3302,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3309,(D) Other personal,3302,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3354,(A) Credit cards,3353,3,false,,
E3,3355,(B) Personal loan plans,3353,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3357,(C) Personal line of credit,3353,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3360,(D) Other personal,3353,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3405,(A) Credit cards,3404,3,false,,
E3,3406,(B) Personal loan plans,3404,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3408,(C) Personal line of credit,3404,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3411,(D) Other personal,3404,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3453,(A) Credit cards,3195,3,false,,
E3,3454,(B) Personal loan plans,3195,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3456,(C) Personal line of credit,3195,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3459,(D) Other personal,3195,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3015,(A) Of which Uninsured,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3034,(A) Of which Uninsured,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3053,(A) Of which Uninsured,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3095,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3096,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3098,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3099,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3102,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3107,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3123,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3124,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3125,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3126,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3127,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3128,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3129,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3130,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3131,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3132,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3133,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3134,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3135,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3136,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3137,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3138,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3139,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3141,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3142,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3143,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3144,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3145,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3146,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3147,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3148,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3149,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3150,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3151,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3152,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3153,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3154,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3155,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3156,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3157,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3171,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3172,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3177,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3178,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3186,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3187,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3189,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3190,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3312,(A) Of which Uninsured,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3317,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3318,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3319,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3320,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3327,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3328,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3329,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3330,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3331,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3332,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3333,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3334,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
E3,3335,,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
